BestError tolerance Kp Ki Kd
294 CTE: 0.1315 Steering Value: 0.226465
295 CTE: 0.126 Steering Value: 0.189218
296 CTE: 0.1223 Steering Value: 0.139858
297 CTE: 0.1223 Steering Value: 0.0165251
298 CTE: 0.1199 Steering Value: 0.0650167
299 CTE: 0.1179 Steering Value: 0.0387098
300 CTE: 0.1167 Steering Value: 0.0229823
301 CTE: 0.1167 Steering Value: -0.0170174
302 CTE: 0.1162 Steering Value: -0.0104133
303 CTE: 0.1159 Steering Value: -0.0263417
304 CTE: 0.116 Steering Value: -0.0365977
305 CTE: 0.1164 Steering Value: -0.0479706
306 CTE: 0.117 Steering Value: -0.0580271
307 CTE: 0.117 Steering Value: -0.0392766
308 CTE: 0.1174 Steering Value: -0.0551827
309 CTE: 0.118 Steering Value: -0.0601615
310 CTE: 0.1184 Steering Value: -0.0562513
311 CTE: 0.1186 Steering Value: -0.0490645
312 CTE: 0.1186 Steering Value: -0.044044
313 CTE: 0.1184 Steering Value: -0.0371536
314 CTE: 0.118 Steering Value: -0.029437
315 CTE: 0.118 Steering Value: -0.0412015
316 CTE: 0.1175 Steering Value: -0.0211979
317 CTE: 0.1167 Steering Value: -0.0116198
318 CTE: 0.1159 Steering Value: -0.0120577
319 CTE: 0.115 Steering Value: -0.00954382
320 CTE: 0.115 Steering Value: -0.0332277
321 CTE: 0.1142 Steering Value: -0.00586816
322 CTE: 0.1132 Steering Value: -0.0096242
323 CTE: 0.1121 Steering Value: 0.00556363
324 CTE: 0.1112 Steering Value: -0.00665257
325 CTE: 0.1103 Steering Value: 5.58523e-05
326 CTE: 0.1103 Steering Value: -0.0280687
327 CTE: 0.1096 Steering Value: -0.00718543
328 CTE: 0.1088 Steering Value: -0.00995623
329 CTE: 0.108 Steering Value: -0.0101602
330 CTE: 0.1074 Steering Value: -0.011835
331 CTE: 0.1074 Steering Value: -0.0305846
332 CTE: 0.1106 Steering Value: -0.131954
333 CTE: 0.1106 Steering Value: -0.0319539
334 CTE: 0.1185 Steering Value: -0.279975
335 CTE: 0.1307 Steering Value: -0.401197
336 CTE: 0.1456 Steering Value: -0.557273
337 CTE: 0.1603 Steering Value: -0.540144
338 CTE: 0.1603 Steering Value: -0.13181
339 CTE: 0.1716 Steering Value: -0.479403
340 CTE: 0.1807 Steering Value: -0.346806
341 CTE: 0.1859 Steering Value: -0.342266
342 CTE: 0.1871 Steering Value: -0.165484
343 CTE: 0.1843 Steering Value: -0.0438008
344 CTE: 0.1843 Steering Value: -0.126153
345 CTE: 0.1792 Steering Value: 0.136645
346 CTE: 0.1714 Steering Value: 0.168615
347 CTE: 0.163 Steering Value: 0.231778
348 CTE: 0.1546 Steering Value: 0.241272
349 CTE: 0.147 Steering Value: 0.200273
350 CTE: 0.1406 Steering Value: 0.202499
351 CTE: 0.1406 Steering Value: 0.0142648
352 CTE: 0.1357 Steering Value: 0.160401
353 CTE: 0.1306 Steering Value: 0.127115
354 CTE: 0.1269 Steering Value: 0.0932318
355 CTE: 0.1243 Steering Value: 0.0809161
356 CTE: 0.1228 Steering Value: 0.0314246
357 CTE: 0.1224 Steering Value: -0.00349537
358 CTE: 0.1224 Steering Value: -0.0152594
359 CTE: 0.1226 Steering Value: -0.0389985
360 CTE: 0.1232 Steering Value: -0.056482
361 CTE: 0.1241 Steering Value: -0.0669305
362 CTE: 0.1251 Steering Value: -0.077295
363 CTE: 0.126 Steering Value: -0.0767195
364 CTE: 0.126 Steering Value: -0.048594
